k,ssd
1,11655.265673060681
2,7377.290746864826
3,5021.476800614794
4,3933.3963808078834
5,3107.2632239292107
6,2658.297570625168
7,2308.666782055679
8,2049.9308416791105
9,1831.4992328810742
10,1700.9773586659587
11,1531.5455630536521
